year,id_,socfrend,satjob,satfin,mntlhlth,satself,afailure,slfrspct,ofworth,nogood,optimist,pessimst,notcount,moregood,owndoing,depndabl,hlth4,ballot
2004,153,3.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot b
2004,157,5.0,2.0,2.0,0.0,2.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot b
2004,158,4.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,Ballot c
2004,161,2.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,Ballot a
2004,162,4.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,5.0,2.0,Ballot b
2004,164,4.0,2.0,2.0,0.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot c
2004,170,3.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,Ballot b
2004,172,4.0,4.0,2.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot c
2004,173,5.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,Ballot b
2004,180,4.0,1.0,2.0,0.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,Ballot c
2004,186,4.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot b
2004,190,4.0,1.0,1.0,0.0,2.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot c
2004,196,5.0,1.0,3.0,5.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,Ballot b
2004,197,4.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot a
2004,200,3.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot b
2004,201,4.0,1.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Ballot c
2004,208,7.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot a
2004,209,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Ballot c
2004,221,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,Ballot a
2004,224,5.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,Ballot b
2004,226,4.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot c
2004,228,2.0,2.0,1.0,6.0,2.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,Ballot b
2004,231,5.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,Ballot b
2004,234,2.0,1.0,2.0,10.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,Ballot a
2004,236,3.0,2.0,2.0,0.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,Ballot a
2004,245,1.0,1.0,1.0,0.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,Ballot a
2004,249,2.0,1.0,2.0,10.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,Ballot b
2004,251,5.0,4.0,2.0,0.0,2.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,Ballot a
2004,257,4.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,Ballot c
2004,263,2.0,4.0,3.0,30.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,Ballot a
2004,274,3.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,Ballot a
2004,275,4.0,2.0,3.0,20.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,Ballot c
2004,279,4.0,2.0,2.0,8.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot c
2004,282,4.0,1.0,3.0,5.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,Ballot b
2004,283,4.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,Ballot c
2004,288,4.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,Ballot c
